azonosito;nev;email;szuletesiDatum;ertesitesiCim;matekPont;magyarPont
01234567890;Balogh László;baloghlaszlo05@gmail.com;1996-06-22;890 Szigeti út, Nyíregyháza;50;38
11223354556;Németh Mária;nemethmaria06@gmail.com;2001-04-30;123 Rákóczi tér, Veszprém;37;46
12345678901;Kovács János;kovacsjanos12@gmail.com;1998-02-15;123 Kossuth tér, Budapest;45;40
22333455667;Szabó Péter;szabopeter07@gmail.com;1998-09-17;234 Bartók út, Salgótarján;44;42
23456789012;Nagy Eszter;nagyeszter23@gmail.com;1995-07-22;456 Ady Endre utca, Debrecen;38;45
33445566778;Horváth Anna;horvathanna08@gmail.com;1997-07-07;345 Ady tér, Szekszárd;39;48
34567890123;Kiss Béla;kissbela45@gmail.com;1996-11-10;789 Szent István tér, Szeged;42;50
44656677889;Gál Krisztina;galkrisztina09@gmail.com;1995-02-01;456 Károly tér, Szeghalom;45;41
45678901234;Molnár Éva;molnareva67@gmail.com;1997-09-07;101 Petőfi tér, Pécs;35;48
55867788990;Takács Gergő;takacsgergo10@gmail.com;2000-11-12;567 Szentendrei út, Gödöllő;37;49
56789012345;Tóth Gábor;tothgabor89@gmail.com;2000-05-30;202 Kossuth utca, Székesfehérvár;48;42
66978899011;Lukács Emese;lukacsemese11@gmail.com;1994-05-27;678 Bajnai út, Dunaújváros;48;37
67890123456;Varga Zoltán;vargazoltan01@gmail.com;1999-03-18;345 Dózsa György út, Szolnok;40;47
77789901122;Kovács Tamás;kovacstamas12@gmail.com;1993-01-09;789 Kossuth tér, Kaposvár;42;44
78901234567;Fekete Judit;feketejudit02@gmail.com;1994-08-25;567 Bajnai út, Kecskemét;46;39
89012345678;Hegedűs István;hegedusistvan03@gmail.com;1992-12-13;678 Hunyadi tér, Szombathely;38;49
90123456789;Papp Katalin;pappkatalin04@gmail.com;1993-10-05;789 Móricz tér, Eger;43;44
