azonosito;nev;email;szuletesiDatum;ertesitesiCim;matekPont;magyarPont
55867788990;Takács Gergő;takacsgergo10@gmail.com;2000-11-12;567 Szentendrei út, Gödöllő;37;49
56789012345;Tóth Gábor;tothgabor89@gmail.com;2000-05-30;202 Kossuth utca, Székesfehérvár;48;42
66978899011;Lukács Emese;lukacsemese11@gmail.com;1994-05-27;678 Bajnai út, Dunaújváros;48;37
67890123456;Varga Zoltán;vargazoltan01@gmail.com;1999-03-18;345 Dózsa György út, Szolnok;40;47
77789901122;Kovács Tamás;kovacstamas12@gmail.com;1993-01-09;789 Kossuth tér, Kaposvár;42;44
78901234567;Fekete Judit;feketejudit02@gmail.com;1994-08-25;567 Bajnai út, Kecskemét;46;39
89012345678;Hegedűs István;hegedusistvan03@gmail.com;1992-12-13;678 Hunyadi tér, Szombathely;38;49
90123456789;Papp Katalin;pappkatalin04@gmail.com;1993-10-05;789 Móricz tér, Eger;43;44


